,Postcode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwood,43.7532586,-79.3296565,1.0,Park,Food & Drink Shop,Department Store,Ethiopian Restaurant,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
1,M4A,North York,Victoria Villag,43.725882299999995,-79.31557159999998,0.0,Portuguese Restaurant,Coffee Shop,Pizza Place,Intersection,Hockey Arena,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Dog Run
2,M5A,Downtown Toronto,Harbourfron,43.6542599,-79.3606359,0.0,Coffee Shop,Bakery,Pub,Café,Park,Restaurant,Breakfast Spot,Mexican Restaurant,Yoga Studio,French Restaurant
3,M6A,North York,"Lawrence Height, Lawrence Mano",43.718517999999996,-79.46476329999999,0.0,Furniture / Home Store,Clothing Store,Accessories Store,Vietnamese Restaurant,Event Space,Miscellaneous Shop,Coffee Shop,Boutique,Electronics Store,Eastern European Restaurant
4,M7A,Downtown Toronto,Queen's Par,43.6623015,-79.3894938,0.0,Coffee Shop,Park,Gym,Yoga Studio,Bar,Portuguese Restaurant,Café,Diner,Beer Bar,Fast Food Restaurant
5,M9A,Queen's Park,Not assigne,43.6678556,-79.53224240000002,0.0,,,,,,,,,,
6,M1B,Scarborough,"Roug, Malver",43.806686299999996,-79.19435340000001,3.0,Fast Food Restaurant,Print Shop,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore
7,M3B,North York,Don Mills Nort,43.745905799999996,-79.352188,0.0,Gym / Fitness Center,Caribbean Restaurant,Japanese Restaurant,Basketball Court,Café,Construction & Landscaping,Convenience Store,Event Space,Ethiopian Restaurant,Empanada Restaurant
8,M4B,East York,"Woodbine Garden, Parkview Hil",43.7063972,-79.309937,3.0,Pizza Place,Fast Food Restaurant,Gym / Fitness Center,Gastropub,Athletics & Sports,Intersection,Bus Line,Bank,Café,Pharmacy
9,M5B,Downtown Toronto,"Ryerso, Garden Distric",43.6571618,-79.37893709999999,0.0,Coffee Shop,Clothing Store,Cosmetics Shop,Japanese Restaurant,Café,Diner,Ramen Restaurant,Lingerie Store,Middle Eastern Restaurant,Restaurant
10,M6B,North York,Glencair,43.709577,-79.44507259999999,0.0,Bakery,Pizza Place,Pub,Japanese Restaurant,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant
11,M9B,Etobicoke,"Cloverdal, Islingto, Martin Grov, Princess Garden, West Deane Par",43.6509432,-79.55472440000001,4.0,Golf Course,Yoga Studio,Donut Shop,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore
12,M1C,Scarborough,"Highland Cree, Rouge Hil, Port Unio",43.7845351,-79.16049709999999,0.0,Bar,Construction & Landscaping,Moving Target,Yoga Studio,Donut Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore
13,M3C,North York,"Flemingdon Par, Don Mills Sout",43.72589970000001,-79.340923,0.0,Gym,Coffee Shop,Beer Store,Asian Restaurant,Japanese Restaurant,Chinese Restaurant,Supermarket,Restaurant,Dim Sum Restaurant,Sporting Goods Shop
14,M4C,East York,Woodbine Height,43.695343900000005,-79.3183887,3.0,Curling Ice,Video Store,Beer Store,Dance Studio,Asian Restaurant,Cosmetics Shop,Skating Rink,Pharmacy,Park,Comfort Food Restaurant
15,M5C,Downtown Toronto,St. James Tow,43.6514939,-79.3754179,0.0,Coffee Shop,Café,Restaurant,Cocktail Bar,Clothing Store,Hotel,Beer Bar,American Restaurant,Cosmetics Shop,Breakfast Spot
16,M6C,York,Humewood-Cedarval,43.6937813,-79.42819140000002,3.0,Trail,Field,Hockey Arena,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
17,M9C,Etobicoke,"Bloordale Garden, Eringat, Markland Woo, Old Burnhamthorp",43.6435152,-79.57720079999999,0.0,Convenience Store,Park,Shopping Plaza,Liquor Store,Coffee Shop,Pizza Place,Café,Beer Store,Cosmetics Shop,Doner Restaurant
18,M1E,Scarborough,"Guildwoo, Morningsid, West Hil",43.7635726,-79.1887115,3.0,Electronics Store,Breakfast Spot,Pizza Place,Mexican Restaurant,Rental Car Location,Intersection,Medical Center,Yoga Studio,Dog Run,Dim Sum Restaurant
